input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1441968669.55	216367	0	0	0	Shift_L	Shift_L	Did that happen?	 56.55	 120.25	Did that happen?	Sentences	0	0	0.89
1441968669.8	216367	0	1	250	D	D	Did that happen?	 56.55	 120.25	Did that happen?	Sentences	250	0	0.89
1441968669.987	216367	0	2	187	i	i	Did that happen?	 56.55	 120.25	Did that happen?	Sentences	437	0	0.89
1441968670.112	216367	0	3	125	d	d	Did that happen?	 56.55	 120.25	Did that happen?	Sentences	562	0	0.89
1441968670.268	216367	0	4	155	_	space	Did that happen?	 56.55	 120.25	Did that happen?	Sentences	717	0	0.89
1441968670.393	216367	0	5	125	t	t	Did that happen?	 56.55	 120.25	Did that happen?	Sentences	842	0	0.89
1441968670.424	216367	0	6	32	h	h	Did that happen?	 56.55	 120.25	Did that happen?	Sentences	874	0	0.89
1441968670.611	216367	0	7	187	a	a	Did that happen?	 56.55	 120.25	Did that happen?	Sentences	1061	0	0.89
1441968671.204	216367	0	8	593	t	t	Did that happen?	 56.55	 120.25	Did that happen?	Sentences	1654	0	0.89
1441968671.422	216367	0	9	217	_	space	Did that happen?	 56.55	 120.25	Did that happen?	Sentences	1871	0	0.89
1441968671.547	216367	0	10	125	h	h	Did that happen?	 56.55	 120.25	Did that happen?	Sentences	1996	0	0.89
1441968671.641	216367	0	11	95	a	a	Did that happen?	 56.55	 120.25	Did that happen?	Sentences	2091	0	0.89
1441968671.797	216367	0	12	155	p	p	Did that happen?	 56.55	 120.25	Did that happen?	Sentences	2246	0	0.89
1441968671.953	216367	0	13	157	p	p	Did that happen?	 56.55	 120.25	Did that happen?	Sentences	2403	0	0.89
1441968672.046	216367	0	14	93	e	e	Did that happen?	 56.55	 120.25	Did that happen?	Sentences	2496	0	0.89
1441968672.265	216367	0	15	219	n	n	Did that happen?	 56.55	 120.25	Did that happen?	Sentences	2715	0	0.89
1441968672.514	216367	0	16	248	Shift_L	Shift_L	Did that happen?	 56.55	 120.25	Did that happen?	Sentences	2963	0	0.89
1441968672.733	216367	0	17	220	?	question	Did that happen?	 56.55	 120.25	Did that happen?	Sentences	3183	0	0.89
1441968674.074	216367	1	0	0	Shift_L	Shift_L	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	0	0	0.90
1441968674.262	216367	1	1	188	D	D	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	188	0	0.90
1441968674.511	216367	1	2	249	o	o	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	437	0	0.90
1441968674.698	216367	1	3	187	_	space	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	624	0	0.90
1441968675.073	216367	1	4	375	o	o	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	999	0	0.90
1441968676.664	216367	1	5	1591	u	u	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	2590	0	0.90
1441968676.945	216367	1	6	281	_	space	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	2871	0	0.90
1441968677.163	216367	1	7	218	n	n	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	3089	0	0.90
1441968677.257	216367	1	8	94	e	e	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	3183	0	0.90
1441968677.662	216367	1	9	405	d	d	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	3588	0	0.90
1441968678.193	216367	1	10	531	_	space	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	4119	0	0.90
1441968678.349	216367	1	11	156	i	i	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	4275	0	0.90
1441968678.505	216367	1	12	156	t	t	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	4431	0	0.90
1441968678.598	216367	1	13	93	_	space	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	4524	0	0.90
1441968678.786	216367	1	14	188	t	t	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	4712	0	0.90
1441968678.848	216367	1	15	62	o	o	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	4774	0	0.90
1441968679.035	216367	1	16	187	d	d	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	4961	0	0.90
1441968679.16	216367	1	17	125	a	a	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	5086	0	0.90
1441968679.628	216367	1	18	468	y	y	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	5554	0	0.90
1441968679.784	216367	1	19	156	Shift_L	Shift_L	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	5710	0	0.90
1441968679.94	216367	1	20	156	?	question	Do ou ned it today?	 36.82	 330.85	Do ou ned it today?	Sentences	5866	0	0.90
1441968680.845	216367	2	0	0	Shift_L	Shift_L	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	0	0	0.93
1441968681.032	216367	2	1	187	A	A	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	187	0	0.93
1441968681.126	216367	2	2	93	r	r	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	280	0	0.93
1441968681.282	216367	2	3	157	e	e	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	437	0	0.93
1441968681.406	216367	2	4	123	_	space	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	560	0	0.93
1441968681.625	216367	2	5	219	y	y	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	779	0	0.93
1441968681.718	216367	2	6	93	o	o	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	872	0	0.93
1441968681.812	216367	2	7	95	u	u	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	967	0	0.93
1441968681.906	216367	2	8	93	_	space	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	1060	0	0.93
1441968682.124	216367	2	9	219	d	d	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	1279	0	0.93
1441968682.124	216367	2	10	0	f	f	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	1279	0	0.93
1441968682.592	216367	2	11	467	e	e	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	1746	0	0.93
1441968682.779	216367	2	12	188	e	e	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	1934	0	0.93
1441968682.935	216367	2	13	155	l	l	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	2089	0	0.93
1441968683.06	216367	2	14	125	i	i	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	2214	0	0.93
1441968683.247	216367	2	15	187	n	n	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	2401	0	0.93
1441968683.372	216367	2	16	125	g	g	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	2526	0	0.93
1441968683.466	216367	2	17	95	_	space	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	2621	0	0.93
1441968683.59	216367	2	18	123	b	b	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	2744	0	0.93
1441968683.778	216367	2	19	189	e	e	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	2933	0	0.93
1441968683.871	216367	2	20	93	t	t	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	3026	0	0.93
1441968684.058	216367	2	21	187	t	t	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	3213	0	0.93
1441968684.152	216367	2	22	93	t	t	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	3306	0	0.93
1441968684.214	216367	2	23	62	e	e	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	3368	0	0.93
1441968684.37	216367	2	24	156	r	r	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	3524	0	0.93
1441968684.745	216367	2	25	375	Shift_L	Shift_L	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	3899	0	0.93
1441968684.838	216367	2	26	94	?	question	Are you dfeeling bettter?	 72.13	  91.59	Are you dfeeling bettter?	Sentences	3993	0	0.93
1441968685.774	216367	3	0	0	Shift_L	Shift_L	Is it over?	 61.04	  71.84	Is it over?	Sentences	0	0	0.85
1441968685.962	216367	3	1	187	I	I	Is it over?	 61.04	  71.84	Is it over?	Sentences	187	0	0.85
1441968686.118	216367	3	2	157	s	s	Is it over?	 61.04	  71.84	Is it over?	Sentences	344	0	0.85
1441968686.274	216367	3	3	156	_	space	Is it over?	 61.04	  71.84	Is it over?	Sentences	500	0	0.85
1441968686.398	216367	3	4	124	i	i	Is it over?	 61.04	  71.84	Is it over?	Sentences	624	0	0.85
1441968686.523	216367	3	5	125	t	t	Is it over?	 61.04	  71.84	Is it over?	Sentences	749	0	0.85
1441968686.617	216367	3	6	94	_	space	Is it over?	 61.04	  71.84	Is it over?	Sentences	843	0	0.85
1441968686.742	216367	3	7	125	o	o	Is it over?	 61.04	  71.84	Is it over?	Sentences	968	0	0.85
1441968686.898	216367	3	8	156	v	v	Is it over?	 61.04	  71.84	Is it over?	Sentences	1124	0	0.85
1441968687.085	216367	3	9	187	e	e	Is it over?	 61.04	  71.84	Is it over?	Sentences	1311	0	0.85
1441968687.147	216367	3	10	62	r	r	Is it over?	 61.04	  71.84	Is it over?	Sentences	1373	0	0.85
1441968687.459	216367	3	11	312	Shift_L	Shift_L	Is it over?	 61.04	  71.84	Is it over?	Sentences	1685	0	0.85
1441968687.74	216367	3	12	281	?	question	Is it over?	 61.04	  71.84	Is it over?	Sentences	1966	0	0.85
1441968688.707	216367	4	0	0	Shift_L	Shift_L	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	0	0	0.96
1441968688.863	216367	4	1	155	I	I	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	155	0	0.96
1441968689.019	216367	4	2	157	_	space	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	312	0	0.96
1441968689.082	216367	4	3	63	w	w	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	375	0	0.96
1441968689.206	216367	4	4	124	a	a	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	499	0	0.96
1441968689.331	216367	4	5	125	s	s	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	624	0	0.96
1441968689.456	216367	4	6	125	_	space	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	749	0	0.96
1441968689.674	216367	4	7	218	o	o	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	967	0	0.96
1441968689.674	216367	4	8	0	p	p	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	967	0	0.96
1441968689.924	216367	4	9	250	l	l	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	1217	0	0.96
1441968690.018	216367	4	10	93	a	a	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	1310	0	0.96
1441968690.174	216367	4	11	157	n	n	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	1467	0	0.96
1441968690.33	216367	4	12	155	n	n	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	1622	0	0.96
1441968690.454	216367	4	13	124	i	i	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	1746	0	0.96
1441968690.61	216367	4	14	156	n	n	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	1902	0	0.96
1441968690.766	216367	4	15	157	g	g	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	2059	0	0.96
1441968690.891	216367	4	16	125	_	space	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	2184	0	0.96
1441968691.016	216367	4	17	125	t	t	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	2309	0	0.96
1441968691.047	216367	4	18	30	o	o	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	2339	0	0.96
1441968691.172	216367	4	19	125	_	space	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	2464	0	0.96
1441968691.266	216367	4	20	95	a	a	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	2559	0	0.96
1441968691.422	216367	4	21	155	t	t	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	2714	0	0.96
1441968691.546	216367	4	22	124	t	t	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	2838	0	0.96
1441968691.64	216367	4	23	95	e	e	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	2933	0	0.96
1441968691.796	216367	4	24	155	n	n	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	3088	0	0.96
1441968691.858	216367	4	25	63	d	d	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	3151	0	0.96
1441968692.67	216367	4	26	812	.	period	I was oplanning to attend.	 75.70	 143.66	I was oplanning to attend.	Sentences	3963	0	0.96
1441968693.543	216367	5	0	0	Shift_L	Shift_L	Good for you.	 67.89	  93.83	Good for you.	Sentences	0	0	0.93
1441968693.98	216367	5	1	437	G	G	Good for you.	 67.89	  93.83	Good for you.	Sentences	437	0	0.93
1441968694.167	216367	5	2	187	o	o	Good for you.	 67.89	  93.83	Good for you.	Sentences	624	0	0.93
1441968694.323	216367	5	3	155	o	o	Good for you.	 67.89	  93.83	Good for you.	Sentences	779	0	0.93
1441968694.386	216367	5	4	63	d	d	Good for you.	 67.89	  93.83	Good for you.	Sentences	842	0	0.93
1441968694.511	216367	5	5	125	_	space	Good for you.	 67.89	  93.83	Good for you.	Sentences	967	0	0.93
1441968694.635	216367	5	6	125	f	f	Good for you.	 67.89	  93.83	Good for you.	Sentences	1092	0	0.93
1441968694.76	216367	5	7	125	o	o	Good for you.	 67.89	  93.83	Good for you.	Sentences	1217	0	0.93
1441968694.885	216367	5	8	125	r	r	Good for you.	 67.89	  93.83	Good for you.	Sentences	1342	0	0.93
1441968695.041	216367	5	9	155	_	space	Good for you.	 67.89	  93.83	Good for you.	Sentences	1497	0	0.93
1441968695.166	216367	5	10	125	y	y	Good for you.	 67.89	  93.83	Good for you.	Sentences	1622	0	0.93
1441968695.322	216367	5	11	157	o	o	Good for you.	 67.89	  93.83	Good for you.	Sentences	1779	0	0.93
1441968695.415	216367	5	12	92	u	u	Good for you.	 67.89	  93.83	Good for you.	Sentences	1871	0	0.93
1441968695.665	216367	5	13	250	.	period	Good for you.	 67.89	  93.83	Good for you.	Sentences	2121	0	0.93
1441968696.757	216367	6	0	0	Shift_L	Shift_L	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	0	0	0.97
1441968696.882	216367	6	1	125	I	I	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	125	0	0.97
1441968697.069	216367	6	2	187	_	space	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	312	0	0.97
1441968697.194	216367	6	3	125	t	t	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	437	0	0.97
1441968697.256	216367	6	4	62	h	h	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	499	0	0.97
1441968697.35	216367	6	5	93	i	i	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	592	0	0.97
1441968697.537	216367	6	6	187	n	n	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	779	0	0.97
1441968697.599	216367	6	7	63	k	k	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	842	0	0.97
1441968697.755	216367	6	8	156	_	space	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	998	0	0.97
1441968697.849	216367	6	9	94	t	t	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	1092	0	0.97
1441968697.974	216367	6	10	125	h	h	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	1217	0	0.97
1441968698.067	216367	6	11	92	a	a	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	1309	0	0.97
1441968698.161	216367	6	12	95	t	t	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	1404	0	0.97
1441968698.255	216367	6	13	94	_	space	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	1498	0	0.97
1441968698.379	216367	6	14	123	i	i	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	1621	0	0.97
1441968698.442	216367	6	15	63	s	s	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	1684	0	0.97
1441968698.567	216367	6	16	125	_	space	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	1809	0	0.97
1441968698.629	216367	6	17	62	t	t	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	1871	0	0.97
1441968698.754	216367	6	18	125	h	h	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	1996	0	0.97
1441968698.847	216367	6	19	93	e	e	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	2089	0	0.97
1441968699.066	216367	6	20	220	_	space	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	2309	0	0.97
1441968699.315	216367	6	21	249	r	r	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	2558	0	0.97
1441968699.409	216367	6	22	93	i	i	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	2651	0	0.97
1441968699.534	216367	6	23	125	g	g	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	2776	0	0.97
1441968699.659	216367	6	24	125	h	h	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	2901	0	0.97
1441968699.752	216367	6	25	94	t	t	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	2995	0	0.97
1441968699.971	216367	6	26	218	_	space	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	3213	0	0.97
1441968700.064	216367	6	27	93	a	a	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	3306	0	0.97
1441968700.189	216367	6	28	125	n	n	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	3431	0	0.97
1441968700.283	216367	6	29	95	s	s	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	3526	0	0.97
1441968700.47	216367	6	30	187	w	w	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	3713	0	0.97
1441968700.626	216367	6	31	155	e	e	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	3868	0	0.97
1441968701.25	216367	6	32	625	r	r	I think that is the right answer.	 82.62	  99.15	I think that is the right answer.	Sentences	4493	0	0.97
